source, relation, target, fact, superseded
"Investigations", "REQUIRES_CONFIRMATION_FROM", "Model Risk", "Model Risk must confirm who records swaps and who signs off on them for lineage exceptions.", FALSE
"breakpoints by source", "REQUIRES_SIGN_OFF_FROM", "Model Risk", "Model Risk must sign off on the exclusion log.", FALSE
"manual review queues", "REQUIRES_SIGN_OFF_FROM", "Model Risk", "Model Risk must sign off on the high-risk segment cutoff.", FALSE
"initial feature list", "SIGN_OFFS", "Model Risk", "Model Risk signs off on the initial feature list.", FALSE
"KYC cleanup", "REFERS_TO_SPEC", "Risk: Inconsistent KYC Records", "The KYC inconsistency review refers to the specification at http://sharepoint/aml_(anti-money_laundering)_project/risk:_inconsistent_kyc_records_spec for ownership and variance type flagging.", FALSE
"Data Engineering", "CONFIRMS_FIXED_IN_BUILD", "Risk: Inconsistent KYC Records", "Data Engineering will confirm that owner, timestamp, and effective date are fixed in build, and also confirm before/after values are fixed in build by Friday.", TRUE
"Incomplete Regulatory Coverage", "USED_TO_DEFINE_COVERAGE_GAPS", "Risk: Inconsistent KYC Records", "The risk:_incomplete_regulatory_coverage_spec is used to define coverage gaps in the KYC risk phase.", FALSE
"CDD tuning", "HAS_INCONSISTENT_RECORDS", "Risk: Inconsistent KYC Records", "The CDD flow has inconsistent records that are causing KYC mismatches.", FALSE
"regulator clarification", "LOCKED_AFTER", "Rules Config", "Open rule decisions must be made after the field matrix is locked.", FALSE
"ownership/UBO", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "Ownership/UBO is a required field in the SAR Reporting Requirements.", FALSE
"Model Risk", "LEADS_STRICTER_CONTROL_PATH", "SAR Reporting Requirements", "Model Risk is leaning toward tightening the updated control expectations for SAR Reporting Requirements now, accepting a small rework hit for defensibility.", FALSE
"full audit trail on source and last update", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "Full audit trail on source and last update is a required field in the SAR Reporting Requirements.", FALSE
"customer legal name", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "Customer legal name is a required field in the SAR Reporting Requirements.", FALSE
"DOB/incorporation date", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "DOB/incorporation date is a required field in the SAR Reporting Requirements.", FALSE
"risk rating", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "Risk rating is a required field in the SAR Reporting Requirements.", FALSE
"ID/tax ID", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "ID/tax ID is a required field in the SAR Reporting Requirements.", FALSE
"address", "IS_REQUIRED_FIELD_IN", "SAR Reporting Requirements", "Address is a required field in the SAR Reporting Requirements.", FALSE
"engineering", "OWNERSHIP", "SAR Reporting Requirements", "engineering owns the SAR Reporting Requirements.", FALSE
"engineering", "CONFIRMS", "SAR Reporting Requirements", "engineering must confirm the SAR Reporting Requirements spec.", FALSE
"Model Risk", "CONFIRMS", "SAR Reporting Requirements", "Model Risk must confirm the SAR Reporting Requirements spec.", FALSE
"Incomplete Regulatory Coverage", "IMPACTS", "SAR escalation", "Missed regulatory coverage impacts SAR escalation.", FALSE
"Model Risk", "STAMPS_APPROVAL_ON", "SharePoint", "Model Risk stamps approval on the controlled entry in SharePoint.", FALSE
"Data Engineering", "POSTS_TO", "SharePoint", "Data Engineering posts the controlled entry to SharePoint.", FALSE
"regulatory-critical", "LOCKS", "address", "Can we lock that sequencing so we don’t stall remediation?", FALSE
"Model Feature Engineering", "RISK", "alert quality", "Feature engineering risks alert noise.", FALSE
"high-risk patterns", "PROTECTS", "alert quality", "Prioritizing high-risk corridors protects alert quality.", FALSE
"Risk: Inconsistent KYC Records", "IMPACTS", "alert quality", "Inconsistent KYC records impact alert quality.", FALSE
"Incomplete Regulatory Coverage", "IMPACTS", "alert quality", "Missed regulatory coverage impacts alert quality.", FALSE
"Model Feature Engineering", "INCLUDES", "approved inputs", "Feature engineering includes approved inputs.", FALSE
"Legal/Risk", "BRINGS", "audit trail controls", "Legal must bring audit trail controls to the working session.", FALSE
"engineering", "FREEZES", "audit-trail fields", "Engineering must freeze the audit-trail schema first before validating outputs.", FALSE
"engineering", "FREEZES", "audit-trail fields", "engineering must freeze the audit-trail schema by Friday.", TRUE
"Model Risk", "CONFIRMS", "audit-trail fields", "Model Risk must confirm the audit-trail schema.", FALSE
"engineering", "OWNERSHIP", "audit-trail fields", "engineering owns the audit-trail schema.", FALSE
"Phase 2", "REQUIRES", "audit-trail fields", "Phase 2 patterns require an audit trail to prevent unauthorized inclusion.", FALSE
"manual review queues", "REQUIRES_SIGN_OFF_FROM", "audit-trail fields", "DE must sign off on the high-risk segment cutoff.", FALSE
"Investigations", "REQUIRES_CONFIRMATION_FROM", "audit-trail fields", "DE must confirm who records swaps and who signs off on them for lineage exceptions.", FALSE
"breakpoints by source", "REQUIRES_SIGN_OFF_FROM", "audit-trail fields", "DE must sign off on the exclusion log.", FALSE
"SAR Reporting Requirements", "REQUIRES", "audit-trail fields", "SAR Reporting Requirements requires audit trail completeness.", FALSE
"partial-match", "IS_AUTO_ROUTED", "auto-routed", "Partial-match and overwritten cases are not auto-routed and require a manual triage step.", FALSE
"critical referral path", "PAUSES_BASED_ON", "automation assumptions", "Leadership should pause on any automation assumptions until Legal, Ops, and the data team confirm open points against the spec.", FALSE
"typology updates", "REQUIRES", "backup approver path", "Typology-update exceptions require a separate approval path.", FALSE
"exception trail", "HAS_TAG", "backup approver path", "The SharePoint trail has entries tagged as 'exception' for typology-update exceptions.", FALSE
"cutoff approval", "HAS_BACKUP_OWNER", "backup approver path", "The cutoff owner should have a backup owner to prevent gaps in ownership.", FALSE
"exception trail", "REQUIRES_CONFIRMATION_BY", "backup approver path", "The exception trail format and backup approver path must be confirmed by someone, as waiting risks missing the confirmation.", FALSE
"audit-trail fields", "FAILS_TO_DETECT", "bad rule mapping", "Audit trail checks alone will not catch a bad rule mapping.", FALSE
"engineering", "CONFIRMS", "before/after values", "engineering confirms by Friday whether before/after values are discrete build fields.", TRUE
"engineering", "CONFIRMS", "before/after values", "engineering confirms whether before/after values are fixed in build by Friday.", TRUE
"Data Engineering", "CONFIRMS_FIXED_IN_BUILD", "before/after values", "Data Engineering will confirm that before/after values are fixed in build by Friday.", TRUE
"minimum evidence pack", "INCLUDES", "blocked fields with known quality gaps", "The minimum evidence set includes impacted field IDs.", FALSE
"Data Engineering", "ADDS", "blocked fields with known quality gaps", "Data Engineering adds the impacted-field list and draft update to the model_feature_engineering_spec.", FALSE
"Model Feature Engineering", "INCLUDES", "blocked fields with known quality gaps", "Feature engineering includes blocked fields with known quality gaps.", FALSE
"SAR Reporting Requirements", "REQUIRES", "blocker flags", "The SAR Reporting Requirements phase requires blocker flags on the spec by EOD Friday.", FALSE
"backup approver path", "ASSOCIATED_WITH", "blocker reason", "The backup owner is associated with a reason code.", FALSE
"engineering", "CONFIRMS", "blocker reason", "engineering confirms whether the reason is fixed in build by Friday.", FALSE
"exception trail", "HAS_ATTRIBUTE", "blocker reason", "signed decision log has change reason.", FALSE
"DataOwner", "OWNS", "breakpoints by source", "DataOwner owns the source hierarchy.", FALSE
"DataOwner", "CONFIRMS", "breakpoints by source", "DataOwner must confirm the source hierarchy.", FALSE
"DataOwner", "SPLITS_BY", "breakpoints by source", "DataOwner splits source breakpoints by intake, lifecycle, and legacy migration by Friday.", FALSE
"engineering", "CONFIRMS", "build", "engineering confirms whether before/after values are fixed in build by Friday.", TRUE
"backup approver path", "ASSOCIATED_WITH", "build", "The backup owner is associated with the record location.", FALSE
"cutoff approval", "HAS_RECORD_LOCATION", "build", "The cutoff owner must be recorded in the record location in SharePoint by Friday.", FALSE
"Data Engineering", "HAS", "case details", "Data Engineering will confirm the backup owner in SharePoint by Friday.", TRUE
"unmapped values", "TRIGGERS", "case routing and escalation owners", "Unmapped cases escalate automatically after the SLA breach.", FALSE
"Client Services", "CANNOT_PRESSURE_TEST", "case routing and escalation owners", "Client Services cannot pressure-test triage paths due to vague case routing and escalation owners.", FALSE
"build moves forward", "DEPENDS_ON", "clean agreement", "Build moves forward depends on clean agreement.", FALSE
"Legal/Risk", "NEEDS", "clean agreement", "Legal needs clean agreement before build moves forward.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "DEPENDS_ON_HANDOFFS", "critical referral path", "The Investigation Workflow Definition depends on real investigator handoffs for validation of escalation scenarios.", FALSE
"temporary control outside the model", "REQUIRES", "critical referral path", "The manual review fallback is required for the escalation matrix.", FALSE
"high-risk patterns", "USED_TO_ALIGN", "critical referral path", "The high-risk jurisdictions are used to align the escalation matrix.", FALSE
"SAR Reporting Requirements", "REQUIRES_CONFIRMATION_FROM", "critical referral path", "Legal must confirm which updated guidance items change the exception-handling rules in the SAR Reporting Requirements specification.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "REQUIRES_CONFIRMATION_FROM", "critical referral path", "Legal must confirm the tier rules and owner handoffs in the Investigation Workflow Definition specification by EOD Friday.", TRUE
"Model Feature Engineering", "DEPENDS_ON", "customer attributes", "The Model Feature Engineering phase depends on stabilizing the feature set around transaction history and customer attributes before lower-value work.", FALSE
"engineering", "INCLUDES_IN", "customer legal name", "engineering includes field ID in the row-level matrix.", FALSE
"minimum evidence pack", "INCLUDES", "cutoff approval", "The minimum evidence set includes approver.", FALSE
"Data Engineering", "NAMES", "cutoff approval", "Data Engineering names the reason code format.", FALSE
"Data Engineering", "NAMES", "cutoff approval", "Data Engineering names the approver.", FALSE
"Data Engineering", "NAMES", "cutoff approval", "Data Engineering names the record location.", FALSE
"Data Engineering", "NAMES", "cutoff approval", "Data Engineering names the backup.", FALSE
"Model Risk", "CONFIRMS", "cutoff approval", "Model Risk confirms the cutoff approver name.", FALSE
"Model Risk", "NAMES", "cutoff approval", "Model Risk names the cutoff approver in the investigation workflow definition spec.", FALSE
"Model Risk", "SIGNS_OFF_ON", "cutoff approval", "Model Risk signs off on the cutoff.", FALSE
"Model Risk", "NAMES", "cutoff approval", "Model Risk names the cutoff approver.", FALSE
"Model Risk", "OWNERSHIP", "cutoff approval", "Model Risk owns the final approval.", FALSE
"engineering", "CONFIRMS", "cutoff approval", "engineering must confirm the final approval.", FALSE
"Investigations", "CONFIRMS_OWNER", "cutoff approval", "DE must confirm the owner of the cutoff approver in writing by Friday.", TRUE
"Model Risk", "CONFIRMS", "cutoff approval", "Model Risk must confirm the cutoff approver in writing by Friday.", FALSE
"Model Risk", "CONFIRMS_OWNER", "cutoff approval", "Model Risk must confirm the owner of the cutoff approver in writing by Friday.", TRUE
"Model Risk", "SIGNS", "cutoff approval", "Model Risk signs the cutoff.", FALSE
"Model Risk", "DROPS", "cutoff approval", "Model Risk drops the actual approver name in writing.", FALSE
"CDD tuning", "REQUIRES", "cutoff approval", "The CDD flow requires approver ID for overrides.", FALSE
"Data Engineering", "CONFIRMS", "cutoff approval", "Data Engineering is confirming the backup owner.", TRUE
"Data Engineering", "CONFIRMS", "cutoff approval", "Data Engineering is confirming the cutoff record.", FALSE
"Data Engineering", "CONFIRMS", "cutoff approval", "Data Engineering is confirming the approval trail.", FALSE
"Data Engineering", "POSTS", "cutoff approval", "Please have Data Engineering post the named cutoff owner in SharePoint by Friday", FALSE
"Data Engineering", "POSTS", "cutoff approval", "Please have Data Engineering post the named cutoff owner in SharePoint by Friday, plus the record location and backup owner!", FALSE
"Legal/Risk", "BRINGS", "data gaps", "Legal must bring upstream data gaps to the working session.", FALSE
"missing fields", "HAS_REMEDIATION_PATH", "data gaps", "The sync failure scenario includes two remediation paths.", FALSE
"DataOwner", "SIGNS_OFF_ON", "data gaps", "DataOwner signs off on the two remediation paths.", FALSE
"intake", "HAS_REMEDIATION_PATH", "data gaps", "The intake process includes two remediation paths.", FALSE
"legacy-migration", "HAS_REMEDIATION_PATH", "data gaps", "The legacy migration process includes two remediation paths.", FALSE
"reconciliation rule", "REQUIRES", "data validation rules", "Record reconciliation requires data validation rules.", FALSE
"SAR Reporting Requirements", "HAS_GAP_WITH", "doc standards", "SAR Reporting Requirements has a gap between case-management mapping and the required narrative standards.", FALSE
"Model Feature Engineering", "BREAKS", "downstream dependencies", "Feature engineering breaks downstream work if pushed ahead too fast.", FALSE
"Legal/Risk", "BRINGS", "edge cases", "Legal must bring edge cases to the working session.", FALSE
"edge cases", "INVOLVES", "edge cases", "A feature swap involves record swaps.", FALSE
"minimum evidence pack", "INCLUDES", "effective date", "The minimum evidence set includes effective date.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "DEPENDS_ON", "effective date", "case routing must be decided before Data, QA, and Reporting lock their work.", FALSE
"engineering", "CONFIRMS", "effective date", "engineering confirms by Friday whether effective date is a discrete build field.", TRUE
"engineering", "CONFIRMS", "effective date", "engineering confirms whether the before-after is fixed in build by Friday.", FALSE
"engineering", "CONFIRMS", "effective date", "engineering confirms whether the effective date is fixed in build by Friday.", FALSE
"engineering", "REQUIRES", "effective date", "engineering requires the decision log to be maintained for audit purposes.", FALSE
"engineering", "REQUIRES", "effective date", "engineering requires the effective date to be stored only in the decision log.", FALSE
"engineering", "STORES", "effective date", "engineering stores the effective date only in the decision log.", FALSE
"engineering", "USES", "effective date", "engineering uses the build field for storing effective date.", FALSE
"engineering", "REQUIRES", "effective date", "engineering requires the effective date to be locked before validation.", FALSE
"engineering", "USES", "effective date", "engineering uses the decision log for storing effective date.", FALSE
"Data Engineering", "REQUIRES", "effective date", "Data Engineering requires the build field to be populated before validation.", FALSE
"engineering", "REQUIRES", "effective date", "engineering requires the effective date to be stored in the build field.", FALSE
"engineering", "STORES", "effective date", "engineering stores the effective date in the build field.", FALSE
"engineering", "CONFIRMS", "effective date", "Engineering must confirm the effective date in the build by Friday.", TRUE
"Data Engineering", "HAS", "effective date", "Data Engineering will confirm the approval timestamp in SharePoint by Friday.", FALSE
"engineering", "CONFIRMS", "effective date", "Engineering will confirm whether effective date is a discrete build field or log-only by Friday.", TRUE
"SAR Reporting Requirements", "REQUIRES_INPUT_FROM", "engineering", "The SAR Reporting Requirements phase requires input from engineering.", FALSE
"SAR Reporting Requirements", "REQUIRES_CONFIRMATION_FROM", "engineering", "Engineering must confirm which updated guidance items change the exception-handling rules in the SAR Reporting Requirements specification.", FALSE
"engineering", "HAS", "engineering", "The five fields must have a hard confirm on build status by Friday.", TRUE
"engineering", "CONFIRMS", "engineering", "engineering must provide a hard confirm on build status for those five fields by Friday.", TRUE
"Data Engineering", "ADDS", "escalation", "Data Engineering adds the impacted-field list and draft update to the model_feature_engineering_spec.", FALSE
"routing", "SEPARATED_BY", "escalation", "Logic, routing, and escalation are to be separated as distinct fields.", FALSE
"logic", "SEPARATED_BY", "escalation", "Logic, routing, and escalation are to be separated as distinct fields.", FALSE
"queue-ready", "REQUIRES", "escalation", "The queue-ready status requires a stable escalation.", FALSE
"queue-ready", "REQUIRES", "escalation", "Queue-ready requires escalation.", FALSE
"high-risk patterns", "PROTECTS", "escalation consistency", "Prioritizing high-risk corridors protects escalation consistency.", FALSE
"Risk: Inconsistent KYC Records", "IMPACTS", "escalation consistency", "Inconsistent KYC records impact escalation consistency.", FALSE
"high-risk patterns", "HAS_TAG", "escalation points", "High-risk items have escalation tags.", FALSE
"Incomplete Regulatory Coverage", "IS_ISOLATED_BY", "escalation points", "Coverage gaps are isolated by escalation tags.", FALSE
"Model Risk", "CONFIRMS", "escalation points", "Operations confirms the escalation points by Friday.", TRUE
"escalation points", "OWNED_BY", "escalation points", "Leadership is not required to lock escalation points now.", FALSE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "VALIDATES_AGAINST_SCENARIOS", "escalation rules", "The Investigation Workflow Definition validates against escalation scenarios using the specification at http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec.", FALSE
"unmapped values", "ROUTED_TO", "escalation rules", "Unmapped cases in the exception routing fallback are escalated.", FALSE
"Data Engineering", "MAINTAINS", "escalation rules", "Data Engineering is maintaining the escalation logic.", FALSE
"Incomplete Regulatory Coverage", "HAS_MISSING_JURISDICTIONS", "escalation rules", "Regulatory coverage has outstanding jurisdictions.", FALSE
"DataOwner", "DEFINES", "evidence fields", "Compliance defines the override evidence fields this week", TRUE
"evidence fields", "REQUIRED_FOR", "evidence fields", "The evidence bundle is required only for verified overrides.", TRUE
"Investigation Workflow Definition Spec", "HAS_ESCALATION_MODEL", "evidence fields", "Investigation Workflow Definition has two escalation models under consideration: a single escalation route for all exceptions, or a split by risk tier with explicit owner handoffs for AML, Operations, and Legal.", FALSE
"SAR Reporting Requirements", "REQUIRES", "evidence fields", "SAR Reporting Requirements requires override handling.", FALSE
"Legal/Risk", "BRINGS", "exam-readiness concerns", "Legal must bring exam-readiness concerns to the working session.", FALSE
"exception trail", "REQUIRES", "exception trail", "The SharePoint trail requires Compliance review for typology-update exceptions.", FALSE
"typology updates", "REQUIRES", "exception trail", "Typology-update exceptions require a separate approval path.", FALSE
"manual review queues", "TRIGGERS_AUTO_ESCALATION", "exception-fallback SLA", "Auto-escalation for manual review occurs only after a breach trigger.", FALSE
"hold state", "TRIGGERS_AUTO_ESCALATION_AFTER", "exception-fallback SLA", "The manual review hold state triggers auto-escalation only after an SLA breach.", FALSE
"exclusion handling", "HAS_ATTRIBUTE", "exceptions", "The exclusion path for Phase 2 patterns must include reason code.", FALSE
"SharePoint", "HOSTS", "exclusion handling", "The exclusion path for Phase 2 patterns is to be added in SharePoint.", FALSE
"Data Engineering", "ADD", "exclusion handling", "Compliance and Data Engineering are to add a separate exclusion path for Phase 2 patterns.", FALSE
"Data Engineering", "LAYS_OUT", "exclusion handling", "Data Engineering lays out the exception mechanics by Friday.", TRUE
"http://sharepoint/aml_(anti-money_laundering)_project/investigation_workflow_definition_spec", "CONTAINS", "exclusion handling", "The investigation workflow definition spec contains the controlled value set.", FALSE
"Model Risk", "CONFIRMS", "exclusion handling", "Operations confirms the controlled list by Friday.", TRUE
"immediate review", "INCLUDES", "experimental candidates", "The core list includes tracked candidates.", FALSE
"Model Feature Engineering", "INCLUDES", "experimental candidates", "Feature engineering includes experimental candidates.", FALSE
"owner", "HAS", "expiry date", "The fallback register has one expiry.", FALSE
"expiry date", "HAS_ATTRIBUTE", "expiry date", "The fallback inventory has a typology gap.", FALSE
"low-risk gaps", "INCLUDED_IN", "expiry date", "The low-risk gaps are included in the fallback inventory.", FALSE
"expiry date", "HAS_ATTRIBUTE", "expiry date", "The fallback inventory has an expiry.", FALSE
"high-risk patterns", "INCLUDED_IN", "expiry date", "The high-risk patterns are included in the fallback inventory.", FALSE
